item_id,issue_type,indicator_id,country_iso3,year,source_id,source_file_path,value_raw,value_numeric,unit,reason_for_review,recommended_action,status,reviewer_note
mr_1d6a2b9b3c69,unclear_indicator_mapping,semiconductor_exports_to_us_share,,,un_comtrade,,,,,UN Comtrade API did not return a simple parseable response for HS 8542 in v0.1.,Review source file or source URL and map into master schema if usable.,open,
mr_6572f67619d9,unclear_indicator_mapping,semiconductor_trade_balance_usd,,,un_comtrade,,,,,UN Comtrade API did not return a simple parseable response for HS 8542 in v0.1.,Review source file or source URL and map into master schema if usable.,open,
mr_b4795804c430,unclear_indicator_mapping,samsung_sk_semiconductor_revenue,,,opendart,,,,,OPENDART_API_KEY is not set; filing extraction skipped.,Review source file or source URL and map into master schema if usable.,open,
mr_f08190e497aa,unclear_indicator_mapping,ai_memory_hbm_disclosure_flag,,,opendart,,,,,OPENDART_API_KEY is not set; filing extraction skipped.,Review source file or source URL and map into master schema if usable.,open,
mr_a7916752a0ec,unclear_indicator_mapping,major_ai_company_filing_count,,,opendart,,,,,OPENDART_API_KEY is not set; filing extraction skipped.,Review source file or source URL and map into master schema if usable.,open,
mr_705c3ed3264e,unclear_indicator_mapping,data_center_inventory_mw,,,cbre_data_center_trends,,,,,CBRE market report table extraction is manual in v0.1.,Review source file or source URL and map into master schema if usable.,open,
mr_9d82efe1c45d,unclear_indicator_mapping,firm_ai_task_replacement_pct,,,oecd_korea_ai_labor,,,,,OECD report table extraction is manual in v0.1.,Review source file or source URL and map into master schema if usable.,open,
mr_2fa485bfe51a,unclear_indicator_mapping,firm_ai_training_pct,,,oecd_korea_ai_labor,,,,,OECD report table extraction is manual in v0.1.,Review source file or source URL and map into master schema if usable.,open,
mr_dc940f21c28e,unclear_indicator_mapping,stem_tertiary_graduate_share,,,oecd_education,,,,,OECD education portal category selection is manual in v0.1.,Review source file or source URL and map into master schema if usable.,open,
mr_d724f1a6977e,unclear_indicator_mapping,ai_relevant_graduates_count,,,korea_moe,,,,,Korea MOE category mapping is manual in v0.1.,Review source file or source URL and map into master schema if usable.,open,
mr_b5509f66a64c,unclear_indicator_mapping,adult_learning_participation_pct,,,oecd_korea_ai_labor,,,,,OECD report table extraction is manual in v0.1.,Review source file or source URL and map into master schema if usable.,open,
mr_ec4eb2bdbc91,unclear_indicator_mapping,ai_hub_dataset_count,,,nia_ai_hub,,,,,AI Hub current dataset count requires manual site verification.,Review source file or source URL and map into master schema if usable.,open,
mr_caa01e5c742a,unclear_indicator_mapping,un_egdi_score,,,un_egov,,,,,UN EGDI data table extraction is manual in v0.1.,Review source file or source URL and map into master schema if usable.,open,
mr_ef9a4e17b110,unclear_indicator_mapping,un_egdi_rank,,,un_egov,,,,,UN EGDI data table extraction is manual in v0.1.,Review source file or source URL and map into master schema if usable.,open,
mr_7dcc98c59e30,unclear_indicator_mapping,government_ai_readiness_rank,,,oxford_ai_readiness,,,,,Oxford Insights index table extraction is manual in v0.1.,Review source file or source URL and map into master schema if usable.,open,
mr_fb5149eb0975,unclear_indicator_mapping,ai_basic_act_status,,,msit_ai_basic_act,,,,,AI Basic Act official status/date requires manual legal-source review.,Review source file or source URL and map into master schema if usable.,open,
mr_268a47032e8e,unclear_indicator_mapping,defense_ai_program_event_count,,,mnd_dapa_public,,,,,Defense AI/autonomy event coding requires manual review.,Review source file or source URL and map into master schema if usable.,open,
mr_b86e0f5ec39f,unclear_indicator_mapping,defense_ai_institution_count,,,mnd_dapa_public,,,,,Defense AI institution coding requires manual review.,Review source file or source URL and map into master schema if usable.,open,
mr_c1773498c633,unclear_indicator_mapping,military_manpower_pressure_indicator,,,kosis,,,,,KOSIS exact demographic table selection is manual in v0.1.,Review source file or source URL and map into master schema if usable.,open,
mr_57cd93d5966caf,ambiguous_unit,ai_index_fig_4_4_24_netflow_per_10k,KOR,2021,stanford_ai_index_2026_public_data_bundle,4. Economy\Data\fig_4.4.24.csv,0.11677,0.11677,,Numeric value has no standardized unit.,Confirm unit from source documentation before charting.,open,
mr_da999815c06b18,ambiguous_unit,ai_index_fig_4_4_24_netflow_per_10k,KOR,2022,stanford_ai_index_2026_public_data_bundle,4. Economy\Data\fig_4.4.24.csv,-0.03101,-0.03101,,Numeric value has no standardized unit.,Confirm unit from source documentation before charting.,open,
mr_88ca4263eb1944,ambiguous_unit,ai_index_fig_4_4_24_netflow_per_10k,KOR,2023,stanford_ai_index_2026_public_data_bundle,4. Economy\Data\fig_4.4.24.csv,-0.44279,-0.44279,,Numeric value has no standardized unit.,Confirm unit from source documentation before charting.,open,
mr_4886544bc1785b,ambiguous_unit,ai_index_fig_4_4_24_netflow_per_10k,KOR,2024,stanford_ai_index_2026_public_data_bundle,4. Economy\Data\fig_4.4.24.csv,-0.15012,-0.15012,,Numeric value has no standardized unit.,Confirm unit from source documentation before charting.,open,
mr_6bfb055a869978,ambiguous_unit,ai_index_fig_4_4_24_netflow_per_10k,KOR,2025,stanford_ai_index_2026_public_data_bundle,4. Economy\Data\fig_4.4.24.csv,-0.35437,-0.35437,,Numeric value has no standardized unit.,Confirm unit from source documentation before charting.,open,
mr_a9c49447dc6bd3,ambiguous_unit,ai_index_fig_4_5_6_annual_growth_rate_of_industrial_robots_installed,KOR,,stanford_ai_index_2026_public_data_bundle,4. Economy\Data\fig_4.5.6.csv,-0.03,-0.03,,Numeric value has no standardized unit.,Confirm unit from source documentation before charting.,open,
mr_a96fe0646a42e8,ambiguous_unit,ai_index_fig_3_6_1_data_protection_privacy,KOR,,stanford_ai_index_2026_public_data_bundle,3. Responsible AI\Data\fig_3.6.1.csv,24.07,24.07,,Numeric value has no standardized unit.,Confirm unit from source documentation before charting.,open,
mr_9e5c915e1a8e08,ambiguous_unit,ai_index_fig_3_7_1_bias_unfair_discrimination,KOR,,stanford_ai_index_2026_public_data_bundle,3. Responsible AI\Data\fig_3.7.1.csv,6.15,6.15,,Numeric value has no standardized unit.,Confirm unit from source documentation before charting.,open,
mr_93423f050956e1,ambiguous_unit,ai_index_fig_3_7_2_gender_equality,KOR,,stanford_ai_index_2026_public_data_bundle,3. Responsible AI\Data\fig_3.7.2.csv,0,0.0,,Numeric value has no standardized unit.,Confirm unit from source documentation before charting.,open,
mr_c93ae1aa24f308,ambiguous_unit,ai_index_fig_3_7_3_cultural_linguistic_diversity,KOR,,stanford_ai_index_2026_public_data_bundle,3. Responsible AI\Data\fig_3.7.3.csv,37.69,37.69,,Numeric value has no standardized unit.,Confirm unit from source documentation before charting.,open,
mr_fa10e9f7e3be9a,duplicate_conflict,ai_index_fig_1_8_3_pct_share,KOR,2010,stanford_ai_index_2026_public_data_bundle,1. Research and Development\Data\fig_1.8.3.csv,0.0565;0.1953;0.2324;0.5158,0.0565;0.1953;0.2324;0.5158,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_15196da09124ef,duplicate_conflict,ai_index_fig_1_8_3_pct_share,KOR,2011,stanford_ai_index_2026_public_data_bundle,1. Research and Development\Data\fig_1.8.3.csv,0.0557;0.2045;0.2389;0.5009,0.0557;0.2045;0.2389;0.5009,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_ec0d1476320f27,duplicate_conflict,ai_index_fig_1_8_3_pct_share,KOR,2012,stanford_ai_index_2026_public_data_bundle,1. Research and Development\Data\fig_1.8.3.csv,0.057;0.2067;0.2496;0.4867,0.057;0.2067;0.2496;0.4867,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_ed2949e05fe9f9,duplicate_conflict,ai_index_fig_1_8_3_pct_share,KOR,2013,stanford_ai_index_2026_public_data_bundle,1. Research and Development\Data\fig_1.8.3.csv,0.0002;0.0617;0.2072;0.2528;0.4781,0.0002;0.0617;0.2072;0.2528;0.4781,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_6c2d427938655c,duplicate_conflict,ai_index_fig_1_8_3_pct_share,KOR,2014,stanford_ai_index_2026_public_data_bundle,1. Research and Development\Data\fig_1.8.3.csv,0.0002;0.0643;0.2097;0.2664;0.4592,0.0002;0.0643;0.2097;0.2664;0.4592,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_ba73ebba7c04da,duplicate_conflict,ai_index_fig_1_8_3_pct_share,KOR,2015,stanford_ai_index_2026_public_data_bundle,1. Research and Development\Data\fig_1.8.3.csv,0.0002;0.0649;0.2165;0.2788;0.4395,0.0002;0.0649;0.2165;0.2788;0.4395,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_dc88a422253b78,duplicate_conflict,ai_index_fig_1_8_3_pct_share,KOR,2016,stanford_ai_index_2026_public_data_bundle,1. Research and Development\Data\fig_1.8.3.csv,0.0002;0.0004;0.0698;0.2253;0.2849;0.4194,0.0002;0.0004;0.0698;0.2253;0.2849;0.4194,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_2bc627b68f1061,duplicate_conflict,ai_index_fig_1_8_3_pct_share,KOR,2017,stanford_ai_index_2026_public_data_bundle,1. Research and Development\Data\fig_1.8.3.csv,0.0002;0.0006;0.0708;0.2309;0.3014;0.3962,0.0002;0.0006;0.0708;0.2309;0.3014;0.3962,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_66b3ed527ba8d8,duplicate_conflict,ai_index_fig_1_8_3_pct_share,KOR,2018,stanford_ai_index_2026_public_data_bundle,1. Research and Development\Data\fig_1.8.3.csv,0.0002;0.0003;0.0716;0.2301;0.3088;0.389,0.0002;0.0003;0.0716;0.2301;0.3088;0.389,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_401282550713dd,duplicate_conflict,ai_index_fig_1_8_3_pct_share,KOR,2019,stanford_ai_index_2026_public_data_bundle,1. Research and Development\Data\fig_1.8.3.csv,0.0002;0.0009;0.0759;0.2434;0.3219;0.3578,0.0002;0.0009;0.0759;0.2434;0.3219;0.3578,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_5f3bad52690ba9,duplicate_conflict,ai_index_fig_1_8_3_pct_share,KOR,2020,stanford_ai_index_2026_public_data_bundle,1. Research and Development\Data\fig_1.8.3.csv,0.0002;0.0005;0.0792;0.2538;0.3322;0.334,0.0002;0.0005;0.0792;0.2538;0.3322;0.334,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_b5947631b47853,duplicate_conflict,ai_index_fig_1_8_3_pct_share,KOR,2021,stanford_ai_index_2026_public_data_bundle,1. Research and Development\Data\fig_1.8.3.csv,0.0002;0.0008;0.0823;0.2655;0.2994;0.3518,0.0002;0.0008;0.0823;0.2655;0.2994;0.3518,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_de4c244bbc0d96,duplicate_conflict,ai_index_fig_1_8_3_pct_share,KOR,2022,stanford_ai_index_2026_public_data_bundle,1. Research and Development\Data\fig_1.8.3.csv,0.0003;0.0008;0.0864;0.2546;0.285;0.3729,0.0003;0.0008;0.0864;0.2546;0.285;0.3729,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_0d8c8d9dd6ea65,duplicate_conflict,ai_index_fig_1_8_3_pct_share,KOR,2023,stanford_ai_index_2026_public_data_bundle,1. Research and Development\Data\fig_1.8.3.csv,0.0003;0.001;0.0899;0.2159;0.3016;0.3913,0.0003;0.001;0.0899;0.2159;0.3016;0.3913,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_d9354cb39ee556,duplicate_conflict,ai_index_fig_1_8_3_pct_share,KOR,2024,stanford_ai_index_2026_public_data_bundle,1. Research and Development\Data\fig_1.8.3.csv,0.0002;0.0009;0.093;0.1847;0.3111;0.4101,0.0002;0.0009;0.093;0.1847;0.3111;0.4101,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_43e7b7347f781c,duplicate_conflict,ai_index_fig_1_8_3_pct_share,KOR,2025,stanford_ai_index_2026_public_data_bundle,1. Research and Development\Data\fig_1.8.3.csv,0.0002;0.0011;0.096;0.16;0.3176;0.425,0.0002;0.0011;0.096;0.16;0.3176;0.425,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_834cd1cd5375d2,duplicate_conflict,ai_index_fig_1_8_5_south_korea,KOR,,stanford_ai_index_2026_public_data_bundle,1. Research and Development\Data\fig_1.8.5.csv,0.153591682;0.697069943;15.04017013;19.87240076;3.804347826;4.312381853;4.595935728;5.470226843;6.084593573;7.065217391;7.100661626;7.620510397;8.293950851;9.888941399,0.153591682;0.697069943;15.04017013;19.87240076;3.804347826;4.312381853;4.595935728;5.470226843;6.084593573;7.065217391;7.100661626;7.620510397;8.293950851;9.888941399,count,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_8a542b4e2fea13,duplicate_conflict,ai_index_fig_7_2_13_percent_female,KOR,,stanford_ai_index_2026_public_data_bundle,7. Education\Data\fig_7.2.13.csv,0.19;0.24;0.26;0.32,0.19;0.24;0.26;0.32,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_d411be91a14419,duplicate_conflict,ai_index_fig_8_4_2_number_of_ai_related_bills_passed_into_law,KOR,,stanford_ai_index_2026_public_data_bundle,8. Policy and Governance\Data\fig_8.4.2.csv,8;9,8.0;9.0,count,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_bc83923c4c6f06,duplicate_conflict,ai_index_fig_9_1_11_of_respondents,KOR,,stanford_ai_index_2026_public_data_bundle,9. Public Opinion\Data\fig_9.1.11.csv,0.46;0.48;0.51,0.46;0.48;0.51,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_e077d301aafaf7,duplicate_conflict,ai_index_fig_9_1_2_of_respondents_that_agree,KOR,2022,stanford_ai_index_2026_public_data_bundle,9. Public Opinion\Data\fig_9.1.2.csv,0.05;0.62,0.05;0.62,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_4ebe1a16fa5bf3,duplicate_conflict,ai_index_fig_9_1_3_response,KOR,,stanford_ai_index_2026_public_data_bundle,9. Public Opinion\Data\fig_9.1.3.csv,0.39;0.4;0.52;0.63;0.69;0.7;0.75;0.8,0.39;0.4;0.52;0.63;0.69;0.7;0.75;0.8,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_10eee8154327e8,duplicate_conflict,ai_index_fig_9_1_4_response,KOR,,stanford_ai_index_2026_public_data_bundle,9. Public Opinion\Data\fig_9.1.4.csv,-0.02;-0.04;0;0.01;0.02;0.04,-0.02;-0.04;0.0;0.01;0.02;0.04,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_29e8802522df7b,duplicate_conflict,ai_index_fig_9_1_5_response,KOR,,stanford_ai_index_2026_public_data_bundle,9. Public Opinion\Data\fig_9.1.5.csv,0.4;0.69,0.4;0.69,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_2de4c440f0efed,duplicate_conflict,ai_index_fig_9_1_6_response_1,KOR,,stanford_ai_index_2026_public_data_bundle,9. Public Opinion\Data\fig_9.1.6.csv,0.14;0.18;0.24;0.29;0.34;0.51;0.6,0.14;0.18;0.24;0.29;0.34;0.51;0.6,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_198e00d6d489ea,duplicate_conflict,ai_index_fig_9_1_8_percent_of_respondents,KOR,,stanford_ai_index_2026_public_data_bundle,9. Public Opinion\Data\fig_9.1.8.csv,0.3;0.7,0.3;0.7,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_1c44c89465fd11,duplicate_conflict,ai_index_fig_9_1_9_response,KOR,,stanford_ai_index_2026_public_data_bundle,9. Public Opinion\Data\fig_9.1.9.csv,0.14;0.18;0.24;0.29;0.34;0.51;0.6,0.14;0.18;0.24;0.29;0.34;0.51;0.6,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_580b44153d767f,duplicate_conflict,ai_index_fig_9_2_10_percent_of_respondents,KOR,,stanford_ai_index_2026_public_data_bundle,9. Public Opinion\Data\fig_9.2.10.csv,0.07;0.19;0.41,0.07;0.19;0.41,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_4017b4d414d69e,duplicate_conflict,ai_index_fig_9_3_2_response_perc,KOR,,stanford_ai_index_2026_public_data_bundle,9. Public Opinion\Data\fig_9.3.2.csv,0.21;0.53;0.55;0.58,0.21;0.53;0.55;0.58,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
mr_db36ce90973c9e,duplicate_conflict,ai_index_fig_9_3_3_percent_of_respondents,KOR,,stanford_ai_index_2026_public_data_bundle,9. Public Opinion\Data\fig_9.3.3.csv,0.3;0.7,0.3;0.7,percent,Competing observations share indicator/country/period/unit. Canonical selected by documented hierarchy.,Review whether definitions and methods are comparable before using alternatives.,open,
